species,FUn,FUn_n,FSpec,FSpec_n,iucn_status,IUCN_w,FUSE
Potamotrygon_motoro,3.902812254863379,0.8039036211902333,5.8500677813809006,1,VU,0.4,0.32156144847609336
Arapaima_gigas,2.806030783910918,0.557151024635114,3.179033583289733,0.36935362151737505,EN,0.667,0.1372590943702908
Brachyplatystoma_rousseauxii,1.109480425975788,0.17546313411717193,2.4787353844120306,0.2040092304587571,CR,0.999,0.03576030286616081
Sorubim_lima,1.540975681341861,0.27254042570410075,2.704858524282643,0.2573981909417162,NT,0.1,0.007015141253472074
Curimata_vittata,0.9813588222345554,0.1466384874257021,2.2724094570189095,0.15529450453329757,DD,0.3,0.006831645375085978
Oxydoras_niger,1.3784443076840134,0.23597430972393527,2.7473360777604827,0.26742738311257863,NT,0.1,0.006310599213126912
Hemiodus_unimaculatus,0.4807503304683884,0.03401218175555652,3.395262110067306,0.4204064075260158,DD,0.3,0.004289681743192625
Brycon_amazonicus,1.6062450240318735,0.2872246451322612,1.986194373495291,0.08771749409282277,NT,0.1,0.0025194626112702238
Pseudoplatystoma_fasciatum,0.35977142737496814,0.006794491397633342,2.6666085413484875,0.24836715224079428,EN,0.667,0.0011255814957296297
Pseudoplatystoma_corruscans,0.35977142737496814,0.006794491397633342,2.897424036412338,0.3028640044951446,VU,0.4,8.231227492780185e-4
Colossoma_macropomum,0.42946967743009334,0.022475121160201214,1.8114968591491596,0.04647041652599943,VU,0.4,4.1777129671474164e-4
Osteoglossum_bicirrhosum,3.1459610037315042,0.6336281229539256,4.410551640519869,0.6601220449928856,LC,0,0
Piaractus_brachypomus,0.42946967743009334,0.022475121160201214,1.6753178934879362,0.014317787562606071,LC,0,0
Cichla_ocellaris,0.47863549512430376,0.033536388604176744,2.0542212231941646,0.10377902053558986,LC,0,0
Cichla_temensis,0.47863549512430376,0.033536388604176744,2.290058591615049,0.15946156567551809,LC,0,0
Serrasalmus_rhombeus,0.4199593537151845,0.020335499792696183,1.9553007798787532,0.08042334078452489,LC,0,0
Pygocentrus_nattereri,0.4199593537151845,0.020335499792696183,1.8874058033914018,0.06439295035765935,LC,0,0
Hoplias_malabaricus,2.0153454897801075,0.3792635834702894,2.492207081697949,0.20718997487283092,LC,0,0
Astyanax_bimaculatus,0.4807503304683884,0.03401218175555652,3.528029497546751,0.45175354346098356,LC,0,0
Hypostomus_plecostomus,0.3295708443881727,0,3.443534595359867,0.4318038160847924,LC,0,0
Pterygoplichthys_pardalis,0.3295708443881727,0,3.6675551169353793,0.48469633641955584,LC,0,0
Loricariichthys_nudirostris,1.6559337640528067,0.29840355902207194,4.734213918604141,0.7365405512295906,LC,0,0
Boulengerella_cuvieri,3.1459610037315042,0.6336281229539256,3.5716629706660497,0.46205565483902944,LC,0,0
Leporinus_fasciatus,1.2514153591042647,0.20739548729680263,1.8266129455053113,0.050039410559902214,LC,0,0
Schizodon_fasciatus,0.7623023358375856,0.09735541851704041,1.6146764603083135,0,LC,0,0
Triportheus_angulatus,1.6380254935481635,0.29437457753044016,4.217728568504627,0.6145954200843727,LC,0,0
Mylossoma_duriventre,1.4952794918473287,0.26225975110384636,2.1564085478432578,0.1279060295655878,LC,0,0
Prochilodus_nigricans,0.34620576955106414,0.0037425057645065467,1.6426212154343227,0.006597915755026954,LC,0,0
Semaprochilodus_insignis,0.34620576955106414,0.0037425057645065467,1.8098125960285818,0.0460727524159093,LC,0,0
Electrophorus_electricus,4.774433781048145,1,5.712763031737378,0.9675815670300918,LC,0,0
